Product_Package,SKU,Images,Name,Original_Price,Discount_Price,Category,Gender,Shirt,Shirt_Color,Shirt_Fabric,Trouser,Trouser_Color,Trouser_Fabric,Dupatta,Dupatta_Color,Dupatta_Fabric,Linning,Linning_Color,Lining_Fabric,Item_Type,Item_Color,Item_Fabric,Item_Material,Item_Size,Bag_Capacity,Perfume_Notes,Watch_Movement,Description
3 Piece,KSY-U9346,https://res.cloudinary.com/dzo11laml/image/upload/v1751975951/Turquoise_viscose_kurta_3_piece_677_xmvvkh.png,Turquoise Viscose 3 piece,19999,,Ready To Wear,Female,Yes,Blue Turquoise,Viscose Jacquard,Yes,Blue turquoise,Cambric,Yes,Red,Chiffon,,,,"Dupatta, Shirt, Trouser",,,"Cambric, Chiffon, Viscose Jacquard",,,,,"Lightweight and breathable Blue Turquoise Viscose Tunic fabric, ideal for summer."
1 Piece,KSY-U3000,https://res.cloudinary.com/dzo11laml/image/upload/v1751975975/yellow_cotton_Kurta_fgehi6.png,Yellow Cotton Kurta,9189,,Lawn Suits,Female,Yes,Yellow,Cotton,,,,,,,,,,Shirt,,,Cotton,,,,,Luxurious Yellow Cotton Kurta material for a sophisticated look.
1 Piece,KSY-U9056,https://res.cloudinary.com/dzo11laml/image/upload/v1751975935/sky_blue_wool_blend_shirt_tzp1dt.png,Sky Blue Wool Blend Shirt,7326,,Men's Shalwar Kameez,Male,Yes,Sky Blue,Wool Blend,Yes,Black,Linen,,,,,,,"Shirt, Trouser",,,"Linen, Wool Blend",,,,,"Comfortable Sky Blue Wool Blend Shirt, ideal for everyday wear."
Pair,KSY-M5470,https://res.cloudinary.com/dzo11laml/image/upload/v1751975868/Men_White_Flats_zeplou.png,Male White Flats,13045,11600.0,Sandals,Male,,,,,,,,,,,,,Flats,White,Suede,Rubber,5,,,,"Elegant Flats, perfect for special occasions."
Pair,KSY-U5548,https://res.cloudinary.com/dzo11laml/image/upload/v1751975856/Male_Black_Stiletto_lclfdx.png,Male Black Stiletto,7269,5400.0,Sandals,Male,,,,,,,,,,,,,Stiletto,Black,Synthetic,Rubber,9,,,,Durable Stiletto material for long-lasting comfort.
2 Piece,KSY-W4255,https://res.cloudinary.com/dzo11laml/image/upload/v1751975944/Turquoise_Khaddar_Tunic_2_piece_z4lckg.png,Turquoise Khaddar Tunic 2 piece,7309,,Shirts,Female,Yes,Turquoise,Khaddar,Yes,Yellow,Organza,,,,,,,"Shirt, Trouser",,,"Khaddar, Organza",,,,,Elegant Turquoise Khaddar Shirt design for casual and formal wear.
2 Piece,KSY-W6937,https://res.cloudinary.com/dzo11laml/image/upload/v1751975923/Red_Silk_2_Piece_ylfp3f.png,Red Silk 2 piece,16111,,Lawn Suits,Female,Yes,Red,Silk,Yes,Green,Silk,,,,,,,"Shirt, Trouser",,,Silk,,,,,Elegant Red Silk Tunic design for casual and formal wear.
1 Piece,KSY-W6256,https://res.cloudinary.com/dzo11laml/image/upload/v1751975847/Green_Linen_Kurta_y1xopy.png,Green Linen Kurta,18455,,Men's Shalwar Kameez,Male,Yes,Green,Linen,Yes,Sky Blue,Linen,,,,,,,"Shirt, Trouser",,,Linen,,,,,Tailored Green Linen Kurta with a modern fit.
,KSY-U8460,https://res.cloudinary.com/dzo11laml/image/upload/v1751975817/Colongue_unisex_267_zuwrle.png,Cologne,17775,,Perfumes,Unisex,,,,,,,,,,,,,Cologne,Pink Tint,,,,,"Top: Fruity, Berry; Heart: Rose, Patchouli; Base: Sandalwood, Praline",,A captivating Cologne with a long-lasting scent.
2 Piece,KSY-M8386,https://res.cloudinary.com/dzo11laml/image/upload/v1751975844/Green_Blended_kurta_266_v30zpl.png,Green Blended Shalwar kameez,10159,8200.0,Men's Shalwar Kameez,Male,Yes,Green,Blended,Yes,Green,Blended,,,,,,,"Shirt, Trouser",,,Blended,,,,,A classic Green Blended Kurta for a sharp professional look.
3 Piece,KSY-W2561,https://res.cloudinary.com/dzo11laml/image/upload/v1751975976/Yellow_khaddar_3_piece_jibltm.png,Yellow Khaddar 3 piece,16407,,Unstitched,Female,Yes,Yellow,Khaddar,Yes,Maroon,Viscose,Yes,Red,Chiffon,,,,"Dupatta, Shirt, Trouser",,,"Chiffon, Khaddar, Viscose",,,,,Timeless Yellow Khaddar Tunic style with modern embellishments.
2 Piece,KSY-M2406,https://res.cloudinary.com/dzo11laml/image/upload/v1751975909/Purple_cream_2_piece_khaddar_zvtyis.png,Purple Cream Khaddar 2 piece,3207,,Ready To Wear,Female,Yes,Cream,Khaddar,Yes,Maroon,Khaddar,,,,,,,"Shirt, Trouser",,,Khaddar,,,,,Timeless Cream Khaddar Tunic style with modern embellishments.
Single,KSY-W2231,https://res.cloudinary.com/dzo11laml/image/upload/v1751975938/Tote_bag_k0yvmu.png,Female Tan Tote Bag,8062,6100.0,Handbags,Female,,,,,,,,,,,,,Tote Bag,Tan,Nylon,Metal,,Large,,,An elegant Tote Bag for evening events.
1 Piece,KSY-W1889,https://res.cloudinary.com/dzo11laml/image/upload/v1751975934/sky_blue_linen_kurta_smrtym.png,Sky Blue Linen Kurta,16179,,Men's Shirts,Male,Yes,Sky Blue,Linen,,,,,,,,,,Shirt,,,Linen,,,,,"Premium quality Sky Blue Linen Kurta fabric, breathable and stylish."
3 Piece,KSY-M9059,https://res.cloudinary.com/dzo11laml/image/upload/v1751975611/3_piece_cream_chiffon_lbguc0.png,Cream Chiffon Tunic 3 piece,8648,,3 Piece Suits,Female,Yes,Cream,Chiffon,Yes,Maroon,Khaddar,Yes,Cream,Cotton,,,,"Dupatta, Shirt, Trouser",,,"Chiffon, Cotton, Khaddar",,,,,Elegant Cream Chiffon Tunic design for casual and formal wear.
3 Piece,KSY-M4317,https://res.cloudinary.com/dzo11laml/image/upload/v1751975883/orange_organza_3_piece_qnfevc.png,Orange Organza 3 piece,11112,8400.0,3 Piece Suits,Female,Yes,Orange,Organza,Yes,Yellow,Silk,Yes,Orange,Organza,Yes,White,Cotton,"Dupatta, Shirt, Trouser",,,"Organza, Silk",,,,,"A vibrant Orange Organza Shirt with intricate embroidery, perfect for festive occasions."
2 Piece,KSY-M3482,https://res.cloudinary.com/dzo11laml/image/upload/v1751975893/pink_2_piece_silk_h15xcu.png,Pink Silk Tunic,15386,,Shirts,Female,Yes,Pink,Silk,Yes,Red,Cotton,,,,Yes,Pink,Silk,"Shirt, Trouser",,,"Cotton, Silk",,,,,Elegant Pink Silk Tunic design for casual and formal wear.
,KSY-U4741,https://res.cloudinary.com/dzo11laml/image/upload/v1751975824/Eau_De_Parfum_Unisex_oxmjiq.png,Eau de Parfum,14561,,Perfumes,Unisex,,,,,,,,,,,,,Eau de Parfum,Pink Tint,,,,,"Top: Fresh, Green; Heart: Herbal, Mint; Base: Earthy, Vetiver",,A light and invigorating Eau de Parfum for everyday use.
,KSY-U6166,https://res.cloudinary.com/dzo11laml/image/upload/v1751975928/rose_gold_smart_watch_davdan.png,Rose Gold Isabella Smartwatch,13940,9500.0,Watches,Female,,,,,,,,,,,,,Smartwatch,Rose Gold,Leather,Ceramic,One Size,,,Quartz,Durable Smartwatch material for everyday use.
3 Piece,KSY-W8635,https://res.cloudinary.com/dzo11laml/image/upload/v1751975918/red_chiffon_3_piece_i1jnm3.png,Red Chiffon 3 piece,10676,,Shirts,Female,Yes,Red,Chiffon,Yes,Pink,Organza,Yes,Orange,Silk,,,,"Dupatta, Shirt, Trouser",,,"Chiffon, Organza, Silk",,,,,Timeless Red Chiffon Shirt style with modern embellishments.
1 Piece,KSY-U7808,https://res.cloudinary.com/dzo11laml/image/upload/v1751975949/Turquoise_Lawn_Kurta_prxalm.png,Turquoise Lawn Kurta,15279,,Shirts,Female,Yes,Turquoise,Lawn,,,,,,,,,,Shirt,,,Lawn,,,,,Timeless Turquoise Lawn Tunic style with modern embellishments.
1 Piece,KSY-M8018,https://res.cloudinary.com/dzo11laml/image/upload/v1751975855/hot_pink_cotton_kurta_whfx1g.png,Pink Cotton Kurta,19455,14400.0,Shirts,Female,Yes,Pink,Cotton,,,,,,,,,,Shirt,,,Cotton,,,,,Elegant Pink Cotton Shirt design for casual and formal wear.
2 Piece,KSY-M3289,https://res.cloudinary.com/dzo11laml/image/upload/v1751975610/2_piece_white_khaddar_nwniba.png,White Khaddar Tunic 2 piece,7367,,3 Piece Suits,Female,Yes,White,Khaddar,Yes,Maroon,Silk,,,,,,,"Shirt, Trouser",,,"Khaddar, Silk",,,,,Luxurious White Khaddar Tunic material for a sophisticated look.
1 Piece,KSY-U7132,https://res.cloudinary.com/dzo11laml/image/upload/v1751975817/chikanari_cutwork_organza_tunic_shirt_i2lkxk.png,Chikanari cutwork Organza Tunic shirt,3880,,Shirts,Female,Yes,White,Organza,,,,,,,,,,Shirt,,,Organza,,,,,Elegant White Chikankari Cutwork Organza Tunic design for casual and formal wear.
3 Piece,KSY-M7102,https://res.cloudinary.com/dzo11laml/image/upload/v1751975904/pink_viscose_3_piece_xih1zj.png,Pink Viscose 3 piece,18829,,Shirts,Female,Yes,Pink,Viscose,Yes,Pink,Viscose,Yes,Multi-Print,Silk,,,,"Dupatta, Shirt, Trouser",,,"Silk, Viscose",,,,,Timeless Pink Viscose Tunic style with modern embellishments.
3 Piece,KSY-U4680,https://res.cloudinary.com/dzo11laml/image/upload/v1751975688/Black_viscose_3_piece_hbwxlt.png,Black Viscose 3 piece,10618,,Ready To Wear,Female,Yes,Black,Viscose,Yes,Black,Viscose,Yes,Multi-Print,Chiffon,,,,"Dupatta, Shirt, Trouser",,,"Chiffon, Viscose",,,,,Luxurious Black Viscose Tunic material for a sophisticated look.
2 Piece,KSY-M5870,https://res.cloudinary.com/dzo11laml/image/upload/v1751975863/maroon_chiffon_2_piece_eoslof.png,Maroon Chiffon 2 piece,4529,,Unstitched,Female,Yes,Maroon,Chiffon,Yes,Black,Khaddar,,,,Yes,Off-White,Silk,"Shirt, Trouser",,,"Chiffon, Khaddar",,,,,"A vibrant Maroon Chiffon Shirt with intricate embroidery, perfect for festive occasions."
2 Piece,KSY-W2356,https://res.cloudinary.com/dzo11laml/image/upload/v1751975960/white_cotton_2_piece_jmexg9.png,White Cotton 2 piece,17198,,Unstitched,Female,Yes,White,Cotton,Yes,Purple,Silk,,,,,,,"Shirt, Trouser",,,"Cotton, Silk",,,,,"A vibrant White Cotton Tunic with intricate embroidery, perfect for festive occasions."
Single,KSY-U7751,https://res.cloudinary.com/dzo11laml/image/upload/v1751975935/Tan_BackPack_vvfmvg.png,Female Tan Backpack,11846,8500.0,Wallets,Female,,,,,,,,,,,,,Backpack,Tan,Nylon,Canvas,,Small,,,"A spacious Backpack, ideal for daily essentials."
3 Piece,KSY-W3907,https://res.cloudinary.com/dzo11laml/image/upload/v1751975980/yellow_lawn_3_piece_p7u0pm.png,Yellow Lawn 3 piece,5445,,3 Piece Suits,Female,Yes,Yellow,Lawn,Yes,Green,Silk,Yes,Maroon,Khaddar,,,,"Dupatta, Shirt, Trouser",,,"Khaddar, Lawn, Silk",,,,,"A vibrant Yellow Lawn Shirt with intricate embroidery, perfect for festive occasions."
Pair,KSY-M8526,https://res.cloudinary.com/dzo11laml/image/upload/v1751975848/green_loafers_yup3rg.png,Green Loafer,10073,7300.0,Sneakers,Male,,,,,,,,,,,,,Loafer,Green,Rubber,Rubber,8,,,,Versatile Loafer for both casual and semi-formal events.
1 Piece,KSY-U8000,https://res.cloudinary.com/dzo11laml/image/upload/v1751975972/wool_blend_black_pant_ov0cs7.png,Black Wool Blend Pants,16981,12400.0,Men's Trousers,Male,,,,Yes,Black,Wool Blend,,,,,,,Trouser,,,Wool Blend,,,,,Tailored Black Wool Blend Pants with a modern fit.
1 Piece,KSY-W4655,https://res.cloudinary.com/dzo11laml/image/upload/v1751975906/Printed_Lawn_Shirt_797_tfelkd.png,Printed Lawn Shirt,6209,,1 piece,Female,Yes,Multi,Lawn,,,,,,,,,,Shirt,,,Lawn,,,,,Luxurious Printed Lawn Kurta material for a sophisticated look.
1 Piece,KSY-M9899,https://res.cloudinary.com/dzo11laml/image/upload/v1751975852/Grey_linen_pants_xjlr6u.png,Grey Linen Pants,8640,7400.0,Men's Trousers,Male,,,,Yes,Grey,Linen,,,,,,,Trouser,,,Linen,,,,,Versatile Grey Linen Pants for both casual and semi-formal events.
,KSY-M7950,https://res.cloudinary.com/dzo11laml/image/upload/v1751975972/women_silver_analog_watch_zqwj1x.png,Female Silver Analog Watch,2527,1800.0,Watches,Female,,,,,,,,,,,,,Analog Watch,Silver,Metal,Ceramic,One Size,,,Manual Wind,A classic Analog Watch with a timeless design.
,KSY-W5119,https://res.cloudinary.com/dzo11laml/image/upload/v1751975857/Male_Eau_de_Toillete_huc1tt.png,Male Cologne,2866,2000.0,Perfumes,Male,,,,,,,,,,,,,Cologne,Pink Tint,,,,,"Top: Spice, Leather; Heart: Woody, Tobacco; Base: Amber, Vanilla",,"An aromatic Cologne, perfect for evening wear."
2 Piece,KSY-W9261,https://res.cloudinary.com/dzo11laml/image/upload/v1751975878/orange_cotton_tunic_2_piece_il7rio.png,Orange Cotton Tunic 2 piece,15489,,Lawn Suits,Female,Yes,Orange,Cotton,Yes,Blue,Viscose,,,,,,,"Shirt, Trouser",,,"Cotton, Viscose",,,,,"Lightweight and breathable Orange Cotton Kurta fabric, ideal for summer."
2 Piece,KSY-U1824,https://res.cloudinary.com/dzo11laml/image/upload/v1751975904/Pink_viscose_2_piece_cdfgad.png,Pink Viscose 2 piece,5085,4100.0,2 Piece Suits,Female,Yes,Pink,Viscose,Yes,Purple,Organza,,,,,,,"Shirt, Trouser",,,"Organza, Viscose",,,,,Elegant Pink Viscose Kurta design for casual and formal wear.
2 Piece,KSY-W3743,https://res.cloudinary.com/dzo11laml/image/upload/v1751975853/grey_wash_wear_suit_hyg0cj.png,Grey Wash & Wear 2 piece,7616,,Men's Shalwar kameez,Male,Yes,Grey,Wash & Wear,Yes,White,Cotton,,,,,,,"Shirt, Trouser",,,"Cotton, Wash & Wear",,,,,"Premium quality Grey Wash & Wear Kurta and white cotton trouser fabric, breathable and stylish."
Pair,KSY-W3327,https://res.cloudinary.com/dzo11laml/image/upload/v1751975857/male_gold_boots_vgzpyd.png,Male Gold Boots,12314,,Boots,Male,,,,,,,,,,,,,Boots,Gold,Rubber,Leather,6,,,,Fashionable Boots design with excellent grip.
1 Piece,KSY-W7976,https://res.cloudinary.com/dzo11laml/image/upload/v1751975815/burgundy_denim_kurta_xtb8pv.png,Burgundy Denim Kurta,10773,,Men's Shirts,Male,Yes,Burgundy,Denim,,,,,,,,,,Shirt,,,Denim,,,,,"Comfortable Burgundy Denim Kurta, ideal for everyday wear."
Pair,KSY-W2688,https://res.cloudinary.com/dzo11laml/image/upload/v1751975836/FEmale_Pink_Pumps_855_uyal9r.png,Female Pink Pumps,4110,,Boots,Female,,,,,,,,,,,,,Pumps,Pink,Canvas,Leather,10,,,,Versatile Pumps for both casual and semi-formal events.
1 Piece,KSY-U6308,https://res.cloudinary.com/dzo11laml/image/upload/v1751975977/yellow_khaddar_tunic_kurti_cjq1on.png,Yellow Khaddar Tunic,2402,,Unstitched,Female,Yes,Yellow,Khaddar,,,,,,,Yes,Yellow,Silk,Shirt,,,Khaddar,,,,,Luxurious Yellow Khaddar Tunic material for a sophisticated look.
Pair,KSY-U5965,https://res.cloudinary.com/dzo11laml/image/upload/v1751975827/female_black_loafers_djmjef.png,Female Black Loafer,13505,,Heels,Female,,,,,,,,,,,,,Loafer,Black,Leather,Canvas,5,,,,"Elegant Loafer, perfect for special occasions."
3 Piece,KSY-U3988,https://res.cloudinary.com/dzo11laml/image/upload/v1751975917/red_chiffon_3_piece_2_jdalkr.png,Red Chiffon 3 piece,13483,10700.0,3 piece Suits,Female,Yes,Red,Chiffon,Yes,Red,Viscose,Yes,Red,Chiffon,,,,"Dupatta, Shirt, Trouser",,,"Chiffon, Viscose",,,,,Timeless Red Chiffon Tunic style with modern embellishments.
1 Piece,KSY-U7183,https://res.cloudinary.com/dzo11laml/image/upload/v1751975820/cream_embroided_organza_shirt_c5qnim.png,Cream Organza Kurta,12648,9400.0,Shirts,Female,Yes,Cream,Organza,,,,,,,,,,Shirt,,,Organza,,,,,"A vibrant Cream Organza Shirt with intricate embroidery, perfect for festive occasions."
2 Piece,KSY-M2046,https://res.cloudinary.com/dzo11laml/image/upload/v1751975606/2_piece_blue_khaddar_nadeyl.png,Blue Khaddar Tunic,16669,,2 Piece Suits,Female,Yes,Blue,Khaddar,Yes,Blue,Khaddar,,,,,,,"Shirt, Trouser",,,Khaddar,,,,,Luxurious Blue Khaddar Shirt material for a sophisticated look.
2 Piece,KSY-W6650,https://res.cloudinary.com/dzo11laml/image/upload/v1751975867/Maroon_Silk_2_piece_x8sdwp.png,Maroon Silk 2 piece,5208,3900.0,Silk Suits,Female,Yes,Maroon,Silk,Yes,Red,Cotton,,,,Yes,White,Silk,"Shirt, Trouser",,,"Cotton, Silk",,,,,"A vibrant Maroon Silk Kurta with intricate embroidery, perfect for festive occasions."
Single,KSY-M5938,https://res.cloudinary.com/dzo11laml/image/upload/v1751975820/cream_female_wallet_q4qg1i.png,Female Cream Wallet,9705,8300.0,Handbags,Female,,,,,,,,,,,,,Wallet,Cream,Canvas,Faux Leather,,Large,,,An elegant Wallet for evening events.
1 Piece,KSY-U7547,https://res.cloudinary.com/dzo11laml/image/upload/v1751975934/Sky_blue_denim_Trousers_bmgxcg.png,Sky Blue Denim Trousers,8293,,Men's Trousers,Male,,,,Yes,Sky Blue,Denim,,,,,,,Trouser,,,Denim,,,,,"Premium quality Sky Blue Denim Trousers fabric, breathable and stylish."
3 Piece,KSY-M8595,https://res.cloudinary.com/dzo11laml/image/upload/v1751975866/Maroon_lawn_3_piece_svkwbv.png,Maroon Lawn 3 piece,8332,,3 Piece Suits,Female,Yes,Maroon,Lawn,Yes,Maroon,Lawn,Yes,Mahroon,Lawn,,,,"Dupatta, Shirt, Trouser",,,Lawn,,,,,"A vibrant Maroon Lawn Kurta with intricate print, perfect for festive occasions."
,KSY-M8909,https://res.cloudinary.com/dzo11laml/image/upload/v1751975954/unisex_black_smartwatch_mgwtbv.png,Unisex Black Smartwatch,9132,,Watches,Unisex,,,,,,,,,,,,,Smartwatch,Black,Leather,Silicone,One Size,,,Automatic,"Elegant Smartwatch, perfect for formal occasions."
Single,KSY-U5814,https://res.cloudinary.com/dzo11laml/image/upload/v1751975694/blue_crossbody_bag_xg4a0a.png,Blue Crossbody Bag,13117,10600.0,Wallets,Unisex,,,,,,,,,,,,,Crossbody Bag,Blue,Canvas,Zipper,,Small,,,An elegant Crossbody Bag for evening events.
1 Piece,KSY-W3931,https://res.cloudinary.com/dzo11laml/image/upload/v1751975875/navy_denim_kurta_kttrus.png,Navy Denim Kurta,16903,,Men's Shirts,Male,Yes,Navy,Denim,,,,,,,,,,Shirt,,,Denim,,,,,A classic Navy Denim Kurta for a sharp professional look.
2 Piece,KSY-W8241,https://res.cloudinary.com/dzo11laml/image/upload/v1751975907/purple_chiffon_2_piece_geyfrq.png,Purple Chiffon 2 piece,3078,,2 Piece Suits,Female,Yes,Purple,Chiffon,Yes,Purple,Viscose,,,,Yes,White,Silk,"Shirt, Trouser",,,"Chiffon, Viscose",,,,,Elegant Purple Chiffon Kurta design for casual and formal wear.
2 Piece,KSY-M1534,https://res.cloudinary.com/dzo11laml/image/upload/v1751975876/orange_chiffon_2_piece2_ecyg3f.png,Orange Chiffon 2 piece,4548,3800.0,2 Piece Suits,Female,Yes,Orange,Chiffon,Yes,Orange,Viscose,,,,Yes,White,Cotton,"Shirt, Trouser",,,"Chiffon, Viscose",,,,,Elegant Orange Chiffon Shirt design for casual and formal wear.
,KSY-U1620,https://res.cloudinary.com/dzo11laml/image/upload/v1751975930/Silver_Earing_xqsm2d.png,Silver Earrings,11348,8700.0,Accessories,Female,,,,,,,,,,,,,Earrings,Silver,,Sterling Silver,,,,,A delicate Earrings that adds a touch of elegance.
3 Piece,KSY-W9422,https://res.cloudinary.com/dzo11laml/image/upload/v1751975613/3_piece_purple_lawn_tgdwo4.png,Purple Lawn Tunic 3 piece,5099,3900.0,Lawn Suits,Female,Yes,Purple,Lawn,Yes,Purple,Lawn,Yes,Purple,Chiffon,,,,"Dupatta, Shirt, Trouser",,,"Chiffon, Lawn",,,,,"Lightweight and breathable Purple Lawn Kurta fabric, ideal for summer."
1 Piece,KSY-U8556,https://res.cloudinary.com/dzo11laml/image/upload/v1751975820/cream_cotton_kurta_igce4q.png,Cream Cotton Kurta,10104,,1 Piece Kurta,Male,Yes,Cream,Cotton,,,,,,,,,,Shirt,,,Cotton,,,,,Elegant Cream Cotton design for casual and formal wear.
3 Piece,KSY-W6374,https://res.cloudinary.com/dzo11laml/image/upload/v1751975612/3_piece_light_purple_tunic_silk_xein5s.png,Purple Silk Tunic 3 Piece,13901,,Lawn Suits,Female,Yes,Light Purple,Silk,Yes,Light Purple,Raw Silk,Yes,Light Purple,Chiffon,Yes,White,Silk,"Dupatta, Shirt, Trouser",,,"Chiffon, Raw Silk, Silk",,,,,"Lightweight and breathable Purple Silk Tunic fabric, ideal for summer."
2 Piece,KSY-U7659,https://res.cloudinary.com/dzo11laml/image/upload/v1751975852/grey_linen_shalwarKameez_r4g2yy.png,Grey Linen Shalwar Kameez,14235,,Men's Shalwar Kameez,Male,Yes,Grey,Linen,Yes,White,Wool Blend,,,,,,,"Shirt, Trouser",,,"Linen, Wool Blend",,,,,"Premium quality Grey Linen Shirt fabric, breathable and stylish."
Pair,KSY-M1434,https://res.cloudinary.com/dzo11laml/image/upload/v1751975841/gold_stiletto_female_ukjr3e.png,Feminine Gold Stiletto,11886,,Heels,Female,,,,,,,,,,,,,Stiletto,Gold,Canvas,Leather,5,,,,Durable Stiletto material for long-lasting comfort.
2 Piece,KSY-W8588,https://res.cloudinary.com/dzo11laml/image/upload/v1751975607/2_piece_purple_cotton_tunic_oocwwh.png,Purple Cotton Tunic,12513,,Ready To Wear,Female,Yes,Purple,Cotton,Yes,Purple,Cotton,,,,,,,"Shirt, Trouser",,,Cotton,,,,,Elegant Purple Cotton Tunic design for casual and formal wear.
2 Piece,KSY-M8225,https://res.cloudinary.com/dzo11laml/image/upload/v1751975691/Blue_2_piece_khaddar_xcui6b.png,Blue Khaddar 2 piece,18356,,2 piece,Female,Yes,Blue,Khaddar,Yes,Blue,Khaddar,,,,,,,"Shirt, Trouser",,,Khaddar,,,,,Luxurious Blue Khaddar Shirt material for a sophisticated look.
Pair,KSY-U2628,https://res.cloudinary.com/dzo11laml/image/upload/v1751975837/female_red_heels_op2pxr.png,Female Red Sandals,9502,8500.0,Heels,Female,,,,,,,,,,,,,Sandals,Red,Suede,Synthetic,6,,,,Fashionable Sandals design with excellent grip.
1 Piece,KSY-U2433,https://res.cloudinary.com/dzo11laml/image/upload/v1751975705/blue_khaddar_kurta_dka6kh.png,Blue Khaddar Kurta,12440,,Shirts,Male,Yes,Blue,Khaddar,,,,,,,,,,Shirt,,,Khaddar,,,,,"Lightweight and breathable Blue Khaddar Kurta fabric, ideal for summer."
3 Piece,KSY-U9510,https://res.cloudinary.com/dzo11laml/image/upload/v1751975878/orange_cotton_3_piece_goh2zr.png,Orange Cotton 3 piece,19504,,Unstitched,Female,Yes,Orange,Cotton,Yes,Orange,Cotton,Yes,Orange,Viscose,,,,"Dupatta, Shirt, Trouser",,,"Cotton, Viscose",,,,,Luxurious Orange Cotton Kurta material for a sophisticated look.
,KSY-M4935,https://res.cloudinary.com/dzo11laml/image/upload/v1751975830/Female_Brown_Smartwatch_dhrheh.png,Female Brown Smartwatch,2932,2100.0,Watches,Female,,,,,,,,,,,,,Smartwatch,Brown,Leather,Ceramic,One Size,,,Manual Wind,A classic Smartwatch with a timeless design.
